stud_number;first_name;last_name;gender;email;registration_date;payment_date;registration_fee;year
7552324;Huguette;LAMBERT;W;huguette.lambert@centralesupelec.fr;2015-09-15;2015-09-15;20.5;2016
1143077;Stéphane;BOISTAULT;F;stephane.boistault@centralesupelec.fr;2015-09-13;2015-09-13;20.5;2016
3654729;Cendrine;GOHIER;F;cendrine.gohier@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
9875243;Gwenola;POITOU;fille;gwenola.poitou@centralesupelec.fr;2015-09-12;2015-10-12;20.5;2016
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
3273815;John;RIVAULT;garçon;john.rivault@centralesupelec.fr;2015-10-23;2015-10-23;20.5;2016
7272063;Valérie;MAILLOCHON;fille;valerie.maillochon@centralesupelec.fr;2015-09-18;2015-09-18;20.5;2016
4726982;Doris;LANDRY;fille;doris.landry@centralesupelec.fr;2015-10-09;2015-10-09;20.5;2016
7339596;Najia;ALIGON;W;najia.aligon@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@centralesupelec.fr;2015-10-10;2015-10-10;20.5;2016
7930059;Marianne;LE GAL;H;marianne.le gal@centralesupelec.fr;2015-10-07;2015-10-07;20.5;2016
1704351;Inès;﻿MARTIN;fille;ines.martin@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
138039;Helen;COIFFARD;fille;helen.coiffard@centralesupelec.fr;2015-10-24;2015-11-23;20.5;2016
7971456;Salim;GRIFFON;M;salim.griffon@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
8623571;Kheira;ROTUREAU;W;kheira.rotureau@centralesupelec.fr;2015-10-25;2015-11-24;20.5;2016
6413651;Jean-Michel;BOURBON;garçon;jean-michel.bourbon@centralesupelec.fr;2015-10-13;2015-10-13;20.5;2016
1119943;Maude;ALGOURDIN;fille;maude.algourdin@centralesupelec.fr;2015-10-02;2015-11-01;20.5;2016
316232;Marcel;FAURE;H;marcel.faure@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
7467470;Helga;GERNIGON;F;helga.gernigon@centralesupelec.fr;2015-09-27;2015-09-27;20.5;2016
6713791;Andrée;GUEDON;F;andree.guedon@centralesupelec.fr;2015-10-12;2015-10-12;20.5;2016
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@centralesupelec.fr;2015-10-07;2015-11-06;20.5;2016
6393605;Huguette;BOURBON;W;huguette.bourbon@centralesupelec.fr;2015-09-22;2015-10-22;20.5;2016
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@centralesupelec.fr;2015-09-17;2015-10-17;20.5;2016
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@centralesupelec.fr;2015-09-22;2015-09-22;20.5;2016
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@centralesupelec.fr;2015-10-04;2015-10-04;20.5;2016
2206687;Marie Paule;GODEFROY;F;marie paule.godefroy@centralesupelec.fr;2015-09-29;2015-10-29;20.5;2016
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@centralesupelec.fr;2015-10-03;2015-10-03;20.5;2016
7850964;Chistophe;GUIARD;H;chistophe.guiard@centralesupelec.fr;2015-09-13;2015-09-13;20.5;2016
8099037;Maïté;BARAUD;W;maite.baraud@centralesupelec.fr;2015-10-17;2015-10-17;20.5;2016
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@centralesupelec.fr;2015-09-14;2015-09-14;20.5;2016
2743060;Denise;BROUARD;F;denise.brouard@centralesupelec.fr;2015-09-23;2015-09-23;20.5;2016
6768024;Ida;DAVIAU;F;ida.daviau@centralesupelec.fr;2015-10-07;2015-10-07;20.5;2016
3635356;Jean Toussaint;MICHELET;H;jean toussaint.michelet@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
145894;Marie Noelle;COSTE;fille;marie noelle.coste@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
8775967;Claudio;ROUILLE;M;claudio.rouille@centralesupelec.fr;2015-10-27;2015-10-27;20.5;2016
6558582;Marie-Line;CHARPENTIER;F;marie-line.charpentier@centralesupelec.fr;2015-10-01;2015-10-01;20.5;2016
34297;Marie-Astrid;TROST;F;marie-astrid.trost@centralesupelec.fr;2015-10-12;2015-10-12;20.5;2016
2314513;Martha;COULOT;F;martha.coulot@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
8775240;Manuela;MESANGE;F;manuela.mesange@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
6432702;Maude;HALBERT;fille;maude.halbert@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
2092864;Renee;CHAUVIN;W;renee.chauvin@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@centralesupelec.fr;2015-10-13;2015-10-13;20.5;2016
1535695;Monique;HARDOUIN;garçon;monique.hardouin@centralesupelec.fr;2015-10-02;2015-10-02;20.5;2016
9287286;Marco;BROSSAS;H;marco.brossas@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
5390269;Philomène;DA SILVA;W;philomene.da silva@centralesupelec.fr;2015-10-17;2015-11-16;20.5;2016
3654438;Walter;LAVENIER;H;walter.lavenier@centralesupelec.fr;2015-09-30;2015-09-30;20.5;2016
4071677;Marie-Joëlle;DEROUET;F;marie-joelle.derouet@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
7012052;Zahia;BACLE;fille;zahia.bacle@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
7092166;Jack;MAUXION;M;jack.mauxion@centralesupelec.fr;2015-09-14;2015-09-14;20.5;2016
785189;Philippe;POINTEAU;M;philippe.pointeau@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
101046;Emmanuelle;DAGUIN;F;emmanuelle.daguin@centralesupelec.fr;2015-09-20;2015-10-20;20.5;2016
9061188;Omar;BERTAUD;H;omar.bertaud@centralesupelec.fr;2015-09-26;2015-10-26;20.5;2016
8486227;Marie-Michèle;PERRAULT;fille;marie-michele.perrault@centralesupelec.fr;2015-09-28;2015-09-28;20.5;2016
1542780;Peggy;GENDRY;W;peggy.gendry@centralesupelec.fr;2015-09-29;2015-09-29;20.5;2016
4207744;Gaby;PANNEAU;H;gaby.panneau@centralesupelec.fr;2015-09-19;2015-09-19;20.5;2016
6861454;Philip;MALINGE;garçon;philip.malinge@centralesupelec.fr;2015-10-13;2015-11-12;20.5;2016
8955635;Anne-Yvonne;LEBRUN;W;anne-yvonne.lebrun@centralesupelec.fr;2015-10-13;2015-10-13;20.5;2016
4433959;Marie-Helene;NOEL;F;marie-helene.noel@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
1810422;Mireille;LEGER;fille;mireille.leger@centralesupelec.fr;2015-10-02;2015-10-02;20.5;2016
2355705;Jeannot;AUVINET;M;jeannot.auvinet@centralesupelec.fr;2015-09-30;2015-09-30;20.5;2016
9492774;Dorothée;PINARD;fille;dorothee.pinard@centralesupelec.fr;2015-09-27;2015-10-27;20.5;2016
2960755;Helmut;CHALOPIN;M;helmut.chalopin@centralesupelec.fr;2015-09-23;2015-09-23;20.5;2016
7145865;Fatma;COUVREUX;fille;fatma.couvreux@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
3355919;Jean-Pol;BELNOU;M;jean-pol.belnou@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
423898;Hafida;BOUGREAU;W;hafida.bougreau@centralesupelec.fr;2015-10-13;2015-11-12;20.5;2016
6813274;Marietta;VION;F;marietta.vion@centralesupelec.fr;2015-10-25;2015-10-25;20.5;2016
1175545;Jacki;BEZIE;garçon;jacki.bezie@centralesupelec.fr;2015-09-27;;20.5;2016
517862;Fleur;SECHER;fille;fleur.secher@centralesupelec.fr;2015-10-19;2015-11-18;20.5;2016
7231589;Jacob;BOURRIGAULT;M;jacob.bourrigault@centralesupelec.fr;2015-09-18;2015-09-18;20.5;2016
8147057;Florian;BEAUMONT;M;florian.beaumont@centralesupelec.fr;2015-10-08;2015-11-07;20.5;2016
1950948;Marinette;CERISIER;fille;marinette.cerisier@centralesupelec.fr;2015-10-11;2015-11-10;20.5;2016
7009087;Daniela;POILANE;fille;daniela.poilane@centralesupelec.fr;2015-10-17;2015-11-16;20.5;2016
2319720;Hocine;CUSSONNEAU;garçon;hocine.cussonneau@centralesupelec.fr;2015-09-19;2015-09-19;20.5;2016
8861766;Elvis;COSNARD;M;elvis.cosnard@centralesupelec.fr;2015-09-17;2015-10-17;20.5;2016
6424608;Marie-Lise;JOUAN;F;marie-lise.jouan@centralesupelec.fr;2015-10-03;2015-11-02;20.5;2016
7206006;Jérémy;DESGRE;M;jeremy.desgre@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
7903483;Marinella;COLAISSEAU;W;marinella.colaisseau@centralesupelec.fr;2015-09-25;2015-09-25;20.5;2016
5704838;Emmanuel;CHOLLET;garçon;emmanuel.chollet@centralesupelec.fr;2015-10-25;2015-10-25;20.5;2016
1641799;Jean;BRICARD;M;jean.bricard@centralesupelec.fr;2015-09-27;2015-10-27;20.5;2016
455099;Antoinette;PERRAULT;fille;antoinette.perrault@centralesupelec.fr;2015-10-11;2015-10-11;20.5;2016
4121585;Colombe;LENOGUE;fille;colombe.lenogue@centralesupelec.fr;2015-10-21;2015-11-20;20.5;2016
9695784;Conchita;ROHARD;F;conchita.rohard@centralesupelec.fr;2015-10-05;2015-10-05;20.5;2016
3946299;Alberto;DEVEAU;M;alberto.deveau@centralesupelec.fr;2015-10-04;2015-10-04;20.5;2016
4124362;Renee;GANNE;F;renee.ganne@centralesupelec.fr;2015-10-08;2015-10-08;20.5;2016
934964;Anny;VOISINE;fille;anny.voisine@centralesupelec.fr;2015-10-27;2015-11-26;20.5;2016
6876230;Bérénice;VRAIN;fille;berenice.vrain@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
7224833;Mariannick;DERSOIR;F;mariannick.dersoir@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
8261444;Anick;PICHAUD;W;anick.pichaud@centralesupelec.fr;2015-09-20;2015-10-20;20.5;2016
943508;Cyriaque;MECHIN;M;cyriaque.mechin@centralesupelec.fr;2015-09-18;2015-10-18;20.5;2016
4884321;Geneviève;BLON;M;genevieve.blon@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
6136699;Aymeric;POIRIER;H;aymeric.poirier@centralesupelec.fr;2015-09-29;2015-09-29;20.5;2016
4631172;Hamid;ALLUSSE;H;hamid.allusse@centralesupelec.fr;2015-10-19;2015-11-18;20.5;2016
455954;Florian;DIDIER;H;florian.didier@centralesupelec.fr;2015-10-05;2015-11-04;20.5;2016
3079755;Marie-Therese;RIBAULT;W;marie-therese.ribault@centralesupelec.fr;2015-10-02;2015-11-01;20.5;2016
3887446;Yolène;FRUCHET;F;yolene.fruchet@centralesupelec.fr;2015-09-19;2015-10-19;20.5;2016
2284632;Jean-Hervé;DA SILVA;H;jean-herve.da silva@centralesupelec.fr;2015-10-22;2015-11-21;20.5;2016
2605131;Romain;BLANCHARD;H;romain.blanchard@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
102166;Jean-Richard;LEMESLE;M;jean-richard.lemesle@centralesupelec.fr;2015-10-10;2015-10-10;20.5;2016
6119439;Alison;CONSTANTIN;fille;alison.constantin@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
375023;Honoré;LIVACHE;M;honore.livache@centralesupelec.fr;2015-09-30;2015-09-30;20.5;2016
4493579;Karine;MAINDRON;garçon;karine.maindron@centralesupelec.fr;2015-10-05;2015-10-05;20.5;2016
9483832;Carmelo;BARBIN;M;carmelo.barbin@centralesupelec.fr;2015-10-16;2015-11-15;20.5;2016
6360966;Eddie;PELLUAU;garçon;eddie.pelluau@centralesupelec.fr;2015-10-01;2015-10-01;20.5;2016
8171384;Thérèse-Marie;PICARD;fille;therese-marie.picard@centralesupelec.fr;2015-10-19;2015-10-19;20.5;2016
9896491;Raphaelle;BUSSON;fille;raphaelle.busson@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
5879679;Siméon;CHATAIGNER;garçon;simeon.chataigner@centralesupelec.fr;2015-10-19;2015-10-19;20.5;2016
3280740;Emilienne;BRANCHU;W;emilienne.branchu@centralesupelec.fr;2015-09-15;2015-09-15;20.5;2016
1173540;Karin;GENTILHOMME;W;karin.gentilhomme@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
8200792;David;MAILLET;W;david.maillet@centralesupelec.fr;2015-10-09;2015-10-09;20.5;2016
6124965;Marie Jeanne;RICHE;F;marie jeanne.riche@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
1696413;Pierre André;LIZE;M;pierre andre.lize@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
697403;Romuald;ROCHAIS;garçon;romuald.rochais@centralesupelec.fr;2015-10-10;2015-10-10;20.5;2016
2338037;Anicet;PAUL;garçon;anicet.paul@centralesupelec.fr;2015-10-10;2015-11-09;20.5;2016
7076940;Michele;FAUCHARD;M;michele.fauchard@centralesupelec.fr;2015-09-30;2015-09-30;20.5;2016
5559063;Magali;BLAITEAU;M;magali.blaiteau@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
9419114;Cedric;FOULON;H;cedric.foulon@centralesupelec.fr;2015-09-24;2015-10-24;20.5;2016
8851085;Coralie;LATTE;W;coralie.latte@centralesupelec.fr;2015-10-23;2015-10-23;20.5;2016
1829605;Ariane;BOULLAIS;W;ariane.boullais@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
7779709;Valerie;FRAQUET;H;valerie.fraquet@centralesupelec.fr;2015-09-19;;20.5;2016
7889033;Coralie;CHEVET;W;coralie.chevet@centralesupelec.fr;2015-09-24;2015-09-24;20.5;2016
6734111;Théo;DELARUE;M;theo.delarue@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
4131535;Marie-Alice;LEGRAND;W;marie-alice.legrand@centralesupelec.fr;2015-09-21;2015-09-21;20.5;2016
5970331;Maryvonne;FOUGERE;W;maryvonne.fougere@centralesupelec.fr;2015-09-18;2015-09-18;20.5;2016
9302400;Karim;NAULEAU;H;karim.nauleau@centralesupelec.fr;2015-10-01;2015-10-01;20.5;2016
1178592;Christine;PROUST;H;christine.proust@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
8132386;Mounir;HERBERT;garçon;mounir.herbert@centralesupelec.fr;2015-10-23;2015-10-23;20.5;2016
2077845;Fatiha;TESSIER;W;fatiha.tessier@centralesupelec.fr;2015-10-27;2015-10-27;20.5;2016
2319635;Jean-Maurice;RAGUENEAU;H;jean-maurice.ragueneau@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
4244014;Thiery;LECLAIR;M;thiery.leclair@centralesupelec.fr;2015-09-18;2015-09-18;20.5;2016
8466471;Augustin;NOURRY;M;augustin.nourry@centralesupelec.fr;2015-09-20;2015-10-20;20.5;2016
8573060;Khadija;DOLLET;fille;khadija.dollet@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
5855802;Franca;PLUMEJEAU;F;franca.plumejeau@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
2708101;Jean-Marie;TAVEAU;garçon;jean-marie.taveau@centralesupelec.fr;2015-10-07;2015-11-06;20.5;2016
4988197;Dorothee;FEVRIER;F;dorothee.fevrier@centralesupelec.fr;2015-10-11;2015-10-11;20.5;2016
93782;Suzanne;AUBRY;H;suzanne.aubry@centralesupelec.fr;2015-10-11;2015-11-10;20.5;2016
8156351;Eugène;ANDRE;M;eugene.andre@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
5749366;Marie-Angèle;RIVRON;W;marie-angele.rivron@centralesupelec.fr;2015-09-23;2015-10-23;20.5;2016
4049619;Anne-Charlotte;TURPIN;W;anne-charlotte.turpin@centralesupelec.fr;2015-09-29;2015-09-29;20.5;2016
8018418;Marianne;GALLET;M;marianne.gallet@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
4226631;Thierry;MIGNOT;M;thierry.mignot@centralesupelec.fr;2015-09-16;2015-09-16;20.5;2016
6032026;Guylène;MORIN;F;guylene.morin@centralesupelec.fr;2015-10-05;2015-11-04;20.5;2016
9921861;Sylvestre;DEVY;H;sylvestre.devy@centralesupelec.fr;2015-10-04;2015-11-03;20.5;2016
5224127;Ernestine;BELANGER;F;ernestine.belanger@centralesupelec.fr;2015-09-18;2015-10-18;20.5;2016
4022307;Corine;HOMER;fille;corine.homer@centralesupelec.fr;2015-10-01;2015-10-01;20.5;2016
9629022;Cendrine;BOURBON;fille;cendrine.bourbon@centralesupelec.fr;2015-09-23;2015-09-23;20.5;2016
378085;Prosper;HUCHON;H;prosper.huchon@centralesupelec.fr;2015-10-02;2015-10-02;20.5;2016
7183635;Marie-Jeanne;DUBREUIL;garçon;marie-jeanne.dubreuil@centralesupelec.fr;2015-09-22;2015-10-22;20.5;2016
8667146;Jeremy;AUBINEAU;H;jeremy.aubineau@centralesupelec.fr;2015-09-30;2015-10-30;20.5;2016
6218844;Meriem;CHUDEAU;W;meriem.chudeau@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
8449224;Ahmed;LHERMITEAU;H;ahmed.lhermiteau@centralesupelec.fr;2015-10-15;2015-10-15;20.5;2016
6066463;Janick;COUDERT;W;janick.coudert@centralesupelec.fr;2015-10-20;2015-11-19;20.5;2016
7367140;Joël;GRIFFON;fille;joel.griffon@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
5654485;Rachel;CLAUDE;M;rachel.claude@centralesupelec.fr;2015-09-22;2015-09-22;20.5;2016
6223280;Martial;FRETTE;M;martial.frette@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
9754036;Dorothée;BIENVENU;W;dorothee.bienvenu@centralesupelec.fr;2015-09-28;2015-10-28;20.5;2016
7279332;Lorène;TREMBLAY;W;lorene.tremblay@centralesupelec.fr;2015-10-10;2015-10-10;20.5;2016
8559938;Rose-May;CRESPIN;W;rose-may.crespin@centralesupelec.fr;2015-10-13;2015-11-12;20.5;2016
8298694;Diego;PETIT;H;diego.petit@centralesupelec.fr;2015-09-22;2015-09-22;20.5;2016
8113264;Georges;TRICOT;garçon;georges.tricot@centralesupelec.fr;2015-09-27;2015-09-27;20.5;2016
7469007;Stephane;UZUREAU;garçon;stephane.uzureau@centralesupelec.fr;2015-09-22;2015-09-22;20.5;2016
3060112;Guilhem;DELAPORTE;garçon;guilhem.delaporte@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
9325041;Magalie;BAZANTE;F;magalie.bazante@centralesupelec.fr;2015-09-24;2015-10-24;20.5;2016
3614841;Jeanne Marie;HERY;F;jeanne marie.hery@centralesupelec.fr;2015-10-09;2015-10-09;20.5;2016
7095740;Flora;HUBAULT;fille;flora.hubault@centralesupelec.fr;2015-10-23;2015-11-22;20.5;2016
660365;Annabel;CROSNIER;fille;annabel.crosnier@centralesupelec.fr;2015-10-26;;20.5;2016
3339188;Marie-Elisabeth;VIVION;W;marie-elisabeth.vivion@centralesupelec.fr;2015-09-18;2015-09-18;20.5;2016
5810703;Severine;REBONDY;W;severine.rebondy@centralesupelec.fr;2015-10-16;2015-10-16;20.5;2016
3826518;Gina;BELANGER;W;gina.belanger@centralesupelec.fr;2015-10-06;;20.5;2016
2883408;Fernando;BENARD;M;fernando.benard@centralesupelec.fr;2015-10-13;2015-10-13;20.5;2016
9437095;Werner;HULLIN;M;werner.hullin@centralesupelec.fr;2015-09-16;2015-09-16;20.5;2016
5744405;Lisette;JOURDAIN;fille;lisette.jourdain@centralesupelec.fr;2015-09-25;2015-09-25;20.5;2016
9405837;Marinette;JURET;W;marinette.juret@centralesupelec.fr;2015-10-18;2015-10-18;20.5;2016
3500040;Frédérique;EVAIN;fille;frederique.evain@centralesupelec.fr;2015-10-05;2015-11-04;20.5;2016
5679002;Solenne;BLANCHARD;W;solenne.blanchard@centralesupelec.fr;2015-10-26;2015-11-25;20.5;2016
9094742;Thérèse-Marie;THOMAS;F;therese-marie.thomas@centralesupelec.fr;2015-09-20;2015-09-20;20.5;2016
7489903;Davy;ALEXANDRE;M;davy.alexandre@centralesupelec.fr;2015-09-24;2015-09-24;20.5;2016
9413847;Tamara;CHOLET;fille;tamara.cholet@centralesupelec.fr;2015-09-23;2015-10-23;20.5;2016
7311187;Hugo;DESHAYES;M;hugo.deshayes@centralesupelec.fr;2015-10-12;2015-10-12;20.5;2016
8203047;Désiré;POTTIER;H;desire.pottier@centralesupelec.fr;2015-10-24;2015-10-24;20.5;2016
5928897;Assia;TELLIER;F;assia.tellier@centralesupelec.fr;2015-09-20;;20.5;2016
8687526;Sylvine;CHEVET;W;sylvine.chevet@centralesupelec.fr;2015-10-05;2015-10-05;20.5;2016
3411639;Annaïck;CRETIN;F;annaick.cretin@centralesupelec.fr;2015-10-21;2015-11-20;20.5;2016
8516750;Irénée;DEVEAU;garçon;irenee.deveau@centralesupelec.fr;2015-10-10;2015-11-09;20.5;2016
5352488;Pauline;JOLIVET;F;pauline.jolivet@centralesupelec.fr;2015-10-08;2015-10-08;20.5;2016
7101049;Daniela;DINAND;fille;daniela.dinand@centralesupelec.fr;2015-10-18;2015-11-17;20.5;2016
6359723;Axel;POITOU;garçon;axel.poitou@centralesupelec.fr;2015-09-28;2015-10-28;20.5;2016
982945;Romaric;ESNARD;M;romaric.esnard@centralesupelec.fr;2015-10-17;2015-11-16;20.5;2016
9428129;Florine;DUBIN;F;florine.dubin@centralesupelec.fr;2015-10-22;2015-11-21;20.5;2016
5633652;Jerôme;FLECHEAU;M;jerome.flecheau@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
6976364;Juliana;BRECHETEAU;fille;juliana.brecheteau@centralesupelec.fr;2015-09-27;2015-09-27;20.5;2016
9480248;Nathalie;HAYER;H;nathalie.hayer@centralesupelec.fr;2015-10-20;2015-11-19;20.5;2016
9034456;Arnold;COUTAND;H;arnold.coutand@centralesupelec.fr;2015-10-22;2015-10-22;20.5;2016
3767273;Flavienne;ALLARD;F;flavienne.allard@centralesupelec.fr;2015-09-15;2015-09-15;20.5;2016
8710431;Richard;BLUTEAU;M;richard.bluteau@centralesupelec.fr;2015-10-05;2015-10-05;20.5;2016
7662077;Gianni;BARBARIN;M;gianni.barbarin@centralesupelec.fr;2015-09-17;2015-09-17;20.5;2016
2038955;Roger;BOURSIER;garçon;roger.boursier@centralesupelec.fr;2015-10-14;2015-10-14;20.5;2016
2838672;Armel;BOCHEREAU;H;armel.bochereau@centralesupelec.fr;2015-09-28;2015-10-28;20.5;2016
6159800;Daniel;LETOURNEAU;garçon;daniel.letourneau@centralesupelec.fr;2015-10-20;2015-10-20;20.5;2016
4280311;Claire;COSNARD;garçon;claire.cosnard@centralesupelec.fr;2015-09-27;2015-10-27;20.5;2016
3703398;Dalila;LEMAITRE;W;dalila.lemaitre@centralesupelec.fr;2015-10-02;2015-10-02;20.5;2016
8175073;Maggy;FRAPPREAU;F;maggy.frappreau@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
519831;Kathy;SALE;F;kathy.sale@centralesupelec.fr;2015-09-18;2015-10-18;20.5;2016
9535159;Louis;DESBOIS;M;louis.desbois@centralesupelec.fr;2015-09-26;2015-09-26;20.5;2016
6274814;Marie-Pierre;CAILLE;H;marie-pierre.caille@centralesupelec.fr;2015-09-23;2015-10-23;20.5;2016
7094369;Laurence;TURPAULT;fille;laurence.turpault@centralesupelec.fr;2015-10-03;2015-10-03;20.5;2016
2179736;Joël;BREAU;fille;joel.breau@centralesupelec.fr;2015-09-14;2015-09-14;20.5;2016
