stud_number;first_name;last_name;gender;email;stud_role;asso_name;asso_desc
168621;Leïla;JURET;fille;leila.juret@centralesupelec.fr;treasurer;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
248790;Isidore;ROSSIGNOL;H;isidore.rossignol@centralesupelec.fr;president;SBCS;Composé des deux associations (Sono et Barco), cette association...
254339;Omar;BODIN;garçon;omar.bodin@centralesupelec.fr;vice-president;SBCS;Composé des deux associations (Sono et Barco), cette association...
9535159;Louis;DESBOIS;M;louis.desbois@centralesupelec.fr;secretary;SBCS;Composé des deux associations (Sono et Barco), cette association...
5970331;Maryvonne;FOUGERE;W;maryvonne.fougere@centralesupelec.fr;treasurer;SBCS;Composé des deux associations (Sono et Barco), cette association...
4720458;Godefroy;CHENE;garçon;godefroy.chene@centralesupelec.fr;president;Sono;
3043614;Dany;LIGER;H;dany.liger@centralesupelec.fr;vice-president;Sono;
7231589;Jacob;BOURRIGAULT;M;jacob.bourrigault@centralesupelec.fr;secretary;Sono;
3635356;Jean Toussaint;MICHELET;H;jean toussaint.michelet@centralesupelec.fr;treasurer;Sono;
4035655;Michéle;MAILLARD;W;michele.maillard@centralesupelec.fr;president;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
494042;Katell;PAYRAUDEAU;F;katell.payraudeau@centralesupelec.fr;vice-president;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2206687;Marie Paule;GODEFROY;F;marie paule.godefroy@centralesupelec.fr;secretary;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
101046;Emmanuelle;DAGUIN;F;emmanuelle.daguin@centralesupelec.fr;treasurer;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
7997977;Eva;SORIN;fille;eva.sorin@centralesupelec.fr;president;Impact;
2883408;Fernando;BENARD;M;fernando.benard@centralesupelec.fr;vice-president;Impact;
3724573;Ruddy;BARBAULT;M;ruddy.barbault@centralesupelec.fr;secretary;Impact;
2982167;Edouard;DALAINE;M;edouard.dalaine@centralesupelec.fr;treasurer;Impact;
7719175;Eliane;CHOISNE;M;eliane.choisne@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7719175;Eliane;CHOISNE;M;eliane.choisne@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7719175;Eliane;CHOISNE;M;eliane.choisne@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7208231;Florian;COEFFARD;M;florian.coeffard@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7208231;Florian;COEFFARD;M;florian.coeffard@centralesupelec.fr;member;Sono;
7208231;Florian;COEFFARD;M;florian.coeffard@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
5876984;Jacob;ROUSSIERE;garçon;jacob.roussiere@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7874799;Timothée;COUILLAUD;H;timothee.couillaud@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
7874799;Timothée;COUILLAUD;H;timothee.couillaud@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7874799;Timothée;COUILLAUD;H;timothee.couillaud@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
2321657;Léonie;RELION;F;leonie.relion@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
1056327;Prosper;FERRON;H;prosper.ferron@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
1056327;Prosper;FERRON;H;prosper.ferron@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1056327;Prosper;FERRON;H;prosper.ferron@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@centralesupelec.fr;member;Impact;
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
8298259;Béatrix;CHOISNET;fille;beatrix.choisnet@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7085217;Geneviève;RAGUIN;W;genevieve.raguin@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7085217;Geneviève;RAGUIN;W;genevieve.raguin@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7085217;Geneviève;RAGUIN;W;genevieve.raguin@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2542500;Karl;ANIS;H;karl.anis@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
6060655;Gina;GUILLEMET;fille;gina.guillemet@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3656441;Camille;BOUET;garçon;camille.bouet@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8264456;Juliette;RENOUX;F;juliette.renoux@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
8264456;Juliette;RENOUX;F;juliette.renoux@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3808222;Frantz;REVERDY;M;frantz.reverdy@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
3808222;Frantz;REVERDY;M;frantz.reverdy@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
3808222;Frantz;REVERDY;M;frantz.reverdy@centralesupelec.fr;member;Impact;
1443127;Marie-Céline;DENECHERE;fille;marie-celine.denechere@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8841242;Françoise;BOUDIER;M;francoise.boudier@centralesupelec.fr;member;Impact;
1548313;Claude;PAULEAU;F;claude.pauleau@centralesupelec.fr;member;Sono;
1548313;Claude;PAULEAU;F;claude.pauleau@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
1548313;Claude;PAULEAU;F;claude.pauleau@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
7812504;Steeve;LUCAS;H;steeve.lucas@centralesupelec.fr;member;Impact;
7812504;Steeve;LUCAS;H;steeve.lucas@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7812504;Steeve;LUCAS;H;steeve.lucas@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
6684033;Nicole;PREZELIN;M;nicole.prezelin@centralesupelec.fr;member;Sono;
6684033;Nicole;PREZELIN;M;nicole.prezelin@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
6987488;Lise-Marie;BEAUMIER;W;lise-marie.beaumier@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
1489259;Marie-Joelle;HAMON;fille;marie-joelle.hamon@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
1816455;Guy;GEFFARD;M;guy.geffard@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1816455;Guy;GEFFARD;M;guy.geffard@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
1816455;Guy;GEFFARD;M;guy.geffard@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
9419081;Arnauld;MESNARD;garçon;arnauld.mesnard@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
4142842;Jean-José;BONNEAU;M;jean-jose.bonneau@centralesupelec.fr;member;Sono;
2492393;Moussa;LEMOINE;H;moussa.lemoine@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
2492393;Moussa;LEMOINE;H;moussa.lemoine@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2492393;Moussa;LEMOINE;H;moussa.lemoine@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7552324;Huguette;LAMBERT;W;huguette.lambert@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7552324;Huguette;LAMBERT;W;huguette.lambert@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1143077;Stéphane;BOISTAULT;F;stephane.boistault@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
1143077;Stéphane;BOISTAULT;F;stephane.boistault@centralesupelec.fr;member;Sono;
3654729;Cendrine;GOHIER;F;cendrine.gohier@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
3654729;Cendrine;GOHIER;F;cendrine.gohier@centralesupelec.fr;member;Sono;
3654729;Cendrine;GOHIER;F;cendrine.gohier@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7272063;Valérie;MAILLOCHON;fille;valerie.maillochon@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
4726982;Doris;LANDRY;fille;doris.landry@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
7339596;Najia;ALIGON;W;najia.aligon@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
7930059;Marianne;LE GAL;H;marianne.le gal@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
7930059;Marianne;LE GAL;H;marianne.le gal@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
1704351;Inès;﻿MARTIN;fille;ines.martin@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1704351;Inès;﻿MARTIN;fille;ines.martin@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
138039;Helen;COIFFARD;fille;helen.coiffard@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
138039;Helen;COIFFARD;fille;helen.coiffard@centralesupelec.fr;member;Sono;
138039;Helen;COIFFARD;fille;helen.coiffard@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7971456;Salim;GRIFFON;M;salim.griffon@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7971456;Salim;GRIFFON;M;salim.griffon@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
1119943;Maude;ALGOURDIN;fille;maude.algourdin@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1119943;Maude;ALGOURDIN;fille;maude.algourdin@centralesupelec.fr;member;Sono;
7467470;Helga;GERNIGON;F;helga.gernigon@centralesupelec.fr;member;Sono;
7467470;Helga;GERNIGON;F;helga.gernigon@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7467470;Helga;GERNIGON;F;helga.gernigon@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
6393605;Huguette;BOURBON;W;huguette.bourbon@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@centralesupelec.fr;member;Sono;
8099037;Maïté;BARAUD;W;maite.baraud@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
6768024;Ida;DAVIAU;F;ida.daviau@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
145894;Marie Noelle;COSTE;fille;marie noelle.coste@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
145894;Marie Noelle;COSTE;fille;marie noelle.coste@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
145894;Marie Noelle;COSTE;fille;marie noelle.coste@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
8775967;Claudio;ROUILLE;M;claudio.rouille@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
8775967;Claudio;ROUILLE;M;claudio.rouille@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
8775967;Claudio;ROUILLE;M;claudio.rouille@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
6558582;Marie-Line;CHARPENTIER;F;marie-line.charpentier@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
34297;Marie-Astrid;TROST;F;marie-astrid.trost@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
34297;Marie-Astrid;TROST;F;marie-astrid.trost@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
34297;Marie-Astrid;TROST;F;marie-astrid.trost@centralesupelec.fr;member;Sono;
6432702;Maude;HALBERT;fille;maude.halbert@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
6432702;Maude;HALBERT;fille;maude.halbert@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@centralesupelec.fr;member;Impact;
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
9287286;Marco;BROSSAS;H;marco.brossas@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
